date,equipment_id,etape,heures_operees,heures_cumulees,heures_depuis_maintenance,ratio_usure,panne,panne_sous_7j
2024-01-01,FOR-01,forage,16.64,2531.8,47.6,0.19,0,0
2024-01-01,FOR-02,forage,14.21,839.3,171.1,0.684,0,0
2024-01-01,FOR-03,forage,21.87,2875.5,166.1,0.665,0,0
2024-01-01,FOR-04,forage,11.9,1322.6,256.0,1.024,0,0
2024-01-01,PEL-01,chargement,22.33,352.8,279.9,0.933,0,0
2024-01-01,PEL-02,chargement,19.74,1030.6,63.0,0.21,0,0
2024-01-01,PEL-03,chargement,19.07,548.9,111.6,0.372,0,0
2024-01-01,PEL-04,chargement,15.79,2500.9,70.0,0.233,0,0
2024-01-01,PEL-05,chargement,21.31,1849.8,213.0,0.71,0,0
2024-01-01,CAM-01,transport,18.47,1261.2,237.6,0.594,0,1
2024-01-01,CAM-02,transport,22.78,398.6,46.6,0.117,0,1
2024-01-01,CAM-03,transport,19.86,796.5,292.0,0.73,0,1
2024-01-01,CAM-04,transport,13.3,1410.6,139.0,0.347,0,0
2024-01-01,CAM-05,transport,21.85,1861.4,203.1,0.508,0,1
2024-01-01,CAM-06,transport,12.08,1051.4,329.8,0.825,0,1
2024-01-01,CAM-07,transport,16.1,2173.3,113.7,0.284,0,0
2024-01-01,CAM-08,transport,17.45,1825.8,227.5,0.569,0,0
2024-01-01,CAM-09,transport,21.06,2671.4,312.8,0.782,0,0
2024-01-01,CAM-10,transport,19.66,1025.9,411.7,1.029,0,0
2024-01-01,CAM-11,transport,17.55,548.1,184.8,0.462,0,0
2024-01-01,CAM-12,transport,18.36,2338.4,79.2,0.198,0,0
2024-01-01,GEN-01,energie,24.0,1593.1,43.6,0.087,0,0
2024-01-01,GEN-02,energie,24.0,2095.0,406.3,0.813,0,1
2024-01-01,GEN-03,energie,22.05,1826.5,459.8,0.92,0,1
2024-01-02,FOR-01,forage,22.4,2554.2,70.0,0.28,0,0
2024-01-02,FOR-02,forage,16.67,855.9,187.7,0.751,0,0
2024-01-02,FOR-03,forage,17.55,2893.0,183.7,0.735,0,0
2024-01-02,FOR-04,forage,17.11,1339.7,273.1,1.092,0,0
2024-01-02,PEL-01,chargement,18.89,371.6,298.8,0.996,0,0
2024-01-02,PEL-02,chargement,15.14,1045.8,78.2,0.261,0,0
2024-01-02,PEL-03,chargement,17.29,566.2,128.9,0.43,0,0
2024-01-02,PEL-04,chargement,17.2,2518.1,87.2,0.291,0,0
